contentId	difficulty	front	back	tags
COMP215-exam_2023_2024_1-C001	1	计算机硬件系统的核心部件是什么？	CPU（中央处理器）是硬件系统核心。	硬件,核心
COMP215-exam_2023_2024_1-C002	1	机械硬盘和固态硬盘相比，谁读写更快？	固态硬盘（SSD）读写速度更快。	存储,硬件
COMP215-exam_2023_2024_1-C003	1	十进制 15 的二进制写法是什么？	1111。	进制,基础
COMP215-exam_2023_2024_1-C004	1	Windows、Linux 和 QQ 中，哪一个不是系统软件？	QQ 是应用软件，不是系统软件。	软件分类
COMP215-exam_2023_2024_1-C005	2	常见网络拓扑结构有哪些？	常见有星型、总线型、环型、树型、混合型。	网络,拓扑
COMP215-exam_2023_2024_1-C006	1	Word 中查找特定文字的功能是什么？	使用“查找”功能。	Office,Word
COMP215-exam_2023_2024_1-C007	1	Excel 公式 =SUM(A1:A5) 的作用是什么？	计算 A1 到 A5 的总和。	Office,Excel
COMP215-exam_2023_2024_1-C008	2	Python 在常见分类中属于哪类语言？	通常归为解释型语言。	编程语言
COMP215-exam_2023_2024_1-C009	1	计算机病毒主要通过什么途径传播？	主要通过网络、移动介质、邮件等传播。	安全,病毒
COMP215-exam_2023_2024_1-C010	2	操作系统管理内容通常包含哪四类？	进程管理、存储管理、文件管理、设备管理。	操作系统
COMP215-exam_2023_2024_1-C011	1	运算器和控制器集成后的芯片通常称为什么？	微处理器（CPU）。	硬件
COMP215-exam_2023_2024_1-C012	1	1KB 等于多少字节？	1024 字节。	进制,存储
COMP215-exam_2023_2024_1-C013	1	按地理范围分类，局域网和城域网之后是什么？	广域网（WAN）。	网络
COMP215-exam_2023_2024_1-C014	2	Windows 中查看 IP 地址最常见命令是什么？	ipconfig。	网络,命令
COMP215-exam_2023_2024_1-C015	1	PowerPoint 中在哪个选项卡设置切换效果？	“切换”选项卡。	Office,PPT
COMP215-exam_2023_2024_1-C016	2	数据库中组织和存储数据的结构常称为什么？	表（Table）。	数据库
COMP215-exam_2023_2024_1-C017	2	将高级语言翻译成机器语言的软件叫什么？	编译程序/编译器。	编译原理
COMP215-exam_2023_2024_1-C018	2	在计算机中，一个汉字常用多少位二进制表示？	基础课程常按 16 位记忆。	编码
COMP215-exam_2023_2024_1-C019	1	最常见的输入设备组合是什么？	键盘和鼠标。	硬件,输入设备
COMP215-exam_2023_2024_1-C020	2	保障系统安全的日常动作有哪些？	更新操作系统补丁并更新杀毒软件。	安全,运维
