contentId	difficulty	front	back	tags
ENGL215-exam_2022_2023_1-C001	1	rural life 与 urban life 的核心对比是什么？	rural 指乡村生活，urban 指城市生活。	词汇,高频
ENGL215-exam_2022_2023_1-C002	1	business letters 中更常见的语言风格是什么？	正式、规范的 formal language。	词汇,写作
ENGL215-exam_2022_2023_1-C003	2	relative 与 relation 在“亲属”义项上的常见选择是什么？	表示亲戚时通常用 relative/relatives。	词汇,易错
ENGL215-exam_2022_2023_1-C004	2	adapt / adopt / adjust 的核心区别是什么？	adapt=适应；adopt=收养/采纳；adjust=调整。	词汇,辨析
ENGL215-exam_2022_2023_1-C005	1	apply for a job 的介词是什么？	固定搭配是 apply for + 岗位。	词汇,搭配
ENGL215-exam_2022_2023_1-C006	1	in aid of 的中文高频义是什么？	表示“为了帮助/支援……”。	词汇,短语
ENGL215-exam_2022_2023_1-C007	2	objective description 的关键词是什么？	表示“客观描述”，强调不带主观倾向。	词汇
ENGL215-exam_2022_2023_1-C008	2	compared to / compared with 的考试使用建议是什么？	两者都可表示比较，考试里优先保持与原句搭配一致。	词汇,写作
ENGL215-exam_2022_2023_1-C009	2	accompanied by 在句子中通常作什么？	表示“由……伴随”，常作后置定语或状语。	语法,词汇
ENGL215-exam_2022_2023_1-C010	3	but for 在虚拟语气中的典型含义是什么？	表示“要不是……”，常引出与过去事实相反的结果。	语法,虚拟语气
ENGL215-exam_2022_2023_1-C011	1	bitter 的常见副词形式是什么？	bitterly，常用于 cry bitterly。	词形变化
ENGL215-exam_2022_2023_1-C012	1	conquer 的过去分词形式是什么？	conquered。	词形变化
ENGL215-exam_2022_2023_1-C013	1	qualify sb. for sth. 的句法含义是什么？	“使某人具备某岗位/资格条件”。	词汇,搭配
ENGL215-exam_2022_2023_1-C014	2	reluctance 的语义核心是什么？	表示“不情愿、勉强”。	词汇
ENGL215-exam_2022_2023_1-C015	1	in any circumstances 的语义是什么？	表示“在任何情况下”。	词汇,短语
ENGL215-exam_2022_2023_1-C016	1	peer at 的高频中文义是什么？	“凝视、细看、眯眼看”。	词汇,短语
ENGL215-exam_2022_2023_1-C017	1	express gratitude to sb. for sth. 的完整结构是什么？	express gratitude to + 人 + for + 事。	词汇,写作
ENGL215-exam_2022_2023_1-C018	1	commercial heart of the city 指什么区域？	指城市的商业中心区。	词汇
ENGL215-exam_2022_2023_1-C019	2	ambition 与 dream 的考试写作区别是什么？	ambition 更强调长期目标和事业追求，dream 语义更宽泛。	词汇,写作
ENGL215-exam_2022_2023_1-C020	2	interact with each other 在课堂/表演场景中表达什么？	表示双方进行交流互动，而非单向传递。	词汇,搭配
