contentId	difficulty	front	back	tags
COMP215-exam_2022_2023_1_alt-C001	2	冯·诺依曼结构的五大部件是什么？	控制器、运算器、存储器、输入设备、输出设备。	计算机组成
COMP215-exam_2022_2023_1_alt-C002	2	冯·诺依曼思想中最关键的设计原则是什么？	程序存储思想。	计算机组成
COMP215-exam_2022_2023_1_alt-C003	2	计算机采用二进制的核心工程原因是什么？	电路易实现两稳态、可靠性高、实现成本低。	进制
COMP215-exam_2022_2023_1_alt-C004	1	哪类设备属于输入设备？	键盘、鼠标、扫描仪等。	输入输出
COMP215-exam_2022_2023_1_alt-C005	1	病毒有哪些典型特征？	潜伏性、可激活性、传播性、破坏性。	安全
COMP215-exam_2022_2023_1_alt-C006	2	总线通常分为哪三类？	数据总线、地址总线、控制总线。	硬件
COMP215-exam_2022_2023_1_alt-C007	1	计算机工作流程由谁控制？	控制器。	硬件
COMP215-exam_2022_2023_1_alt-C008	1	CPU 与内存等部件安装在哪个硬件平台上？	主板。	硬件
COMP215-exam_2022_2023_1_alt-C009	1	主内存储器在常规微机中通常指什么？	RAM。	存储
COMP215-exam_2022_2023_1_alt-C010	1	完整计算机系统的定义是什么？	硬件系统 + 软件系统。	基础概念
COMP215-exam_2022_2023_1_alt-C011	1	系统软件典型代表有哪些？	操作系统、编译程序、数据库管理系统。	软件分类
COMP215-exam_2022_2023_1_alt-C012	1	执行速度最快的程序形式是什么？	机器语言程序。	编程语言
COMP215-exam_2022_2023_1_alt-C013	1	Windows 中最大化窗口最直接操作是什么？	单击窗口右上角最大化按钮。	Windows
COMP215-exam_2022_2023_1_alt-C014	1	文件进回收站意味着什么？	通常未彻底删除，仍可恢复。	Windows
COMP215-exam_2022_2023_1_alt-C015	1	选择不连续文件时常用什么键？	Ctrl 键。	Windows,操作
COMP215-exam_2022_2023_1_alt-C016	2	程序无响应时推荐的结束方式是什么？	Ctrl + Alt + Del 打开任务管理后结束任务。	Windows,故障处理
COMP215-exam_2022_2023_1_alt-C017	2	“移动文件”在资源管理器常见命令组合是什么？	剪切 + 粘贴。	Windows,文件管理
COMP215-exam_2022_2023_1_alt-C018	1	Word 中切换插入/改写状态用哪个键？	Insert 键。	Word,快捷键
COMP215-exam_2022_2023_1_alt-C019	1	Word 想另存副本不覆盖原文件，应使用什么命令？	另存为。	Word,文件操作
COMP215-exam_2022_2023_1_alt-C020	1	剪切与复制的核心区别是什么？	剪切会从原位置移除，复制不会。	Word,编辑
COMP215-exam_2022_2023_1_alt-C021	1	Excel 工作簿默认扩展名是什么（经典版本）？	.xls。	Excel
COMP215-exam_2022_2023_1_alt-C022	1	Excel 保存快捷键是什么？	Ctrl + S。	Excel,快捷键
COMP215-exam_2022_2023_1_alt-C023	1	Excel 填充柄位于单元格哪个位置？	右下角。	Excel
COMP215-exam_2022_2023_1_alt-C024	1	PowerPoint 2003 属于哪类软件？	应用软件。	PPT
COMP215-exam_2022_2023_1_alt-C025	2	幻灯片放映时快速结束放映使用哪个键？	Esc。	PPT,快捷键
