contentId	difficulty	front	back
MAO101-exam_2023_2024_1-F001	2	填空/判断：毛泽东思想初步形成于______________________时期。	土地革命战争时期（农村包围城市、武装夺取政权理论的出炉为标志）
MAO101-exam_2023_2024_1-F002	1	填空/判断：新民主主义革命的总路线是无产阶级领导的，人民大众的，反对______________________、封建主义和官僚资本主义的革命。	帝国主义
MAO101-exam_2023_2024_1-F003	2	填空/判断：中国共产党在新民主主义革命时期提出的三大法宝是统一战线、______________________、党的建设。	武装斗争
MAO101-exam_2023_2024_1-F004	2	填空/判断：毛泽东在《论十大关系》中提出的经济建设基本方针是以农业为基础，以______________________为主导。	工业
MAO101-exam_2023_2024_1-F005	2	填空/判断：邓小平理论的核心内容是______________________。	“一个中心、两个基本点”（党在社会主义初级阶段的基本路线）
MAO101-exam_2023_2024_1-F006	2	填空/判断：“三个代表”重要思想创造性地回答了建设什么样的党，______________________。	怎样建设党
MAO101-exam_2023_2024_1-F007	1	填空/判断：科学发展观的第一要义是______________________。	发展
MAO101-exam_2023_2024_1-F008	2	填空/判断：习近平新时代中国特色社会主义思想的核心内容是“______________________”和“十四个坚持”。	十个明确（注：试卷原题为“八个明确”，现行标准为“十个明确”，此处按考点标准回复）
MAO101-exam_2023_2024_1-F009	2	填空/判断：新时代我国社会主要矛盾已经转化为人民日益增长的美好生活需要和______________________之间的矛盾。	不平衡不充分的发展
MAO101-exam_2023_2024_1-F010	1	填空/判断：中国特色社会主义进入新时代，我国经济已由高速增长阶段转向______________________阶段。	高质量发展
MAO101-exam_2023_2024_1-J001	4	简答题：简述毛泽东思想的主要内容及其历史地位。	内容：新民主主义革命理论、社会主义革命和社会主义建设理论、革命军队建设和军事战略、政策和策略、思想政治工作和文化工作、党的建设等。历史地位：马克思主义中国化第一个重大理论成果；革命和建设的科学指南；党和人民的宝贵精神财富。
MAO101-exam_2023_2024_1-J002	4	简答题：简述邓小平理论的形成背景及其核心内容。	背景：和平与发展成为时代主题；社会主义建设正反两方面经验总结；我国改革开放和现代化建设实践。核心内容：党在初级阶段的基本路线，即“一个中心、两个基本点”。
MAO101-exam_2023_2024_1-L001	5	论述题：论述毛泽东思想在当代中国的重要意义及对中国特色社会主义理论体系的贡献。	1. 为中特体系奠定了思想前提和理论基础（如实事求是）；2. 提供了社会主义建设的初步探索与经验教训；3. 其中的根本立场方法（群众路线、独立自主）贯穿后续理论始终。
MAO101-exam_2023_2024_1-L002	5	论述题：论述习近平新时代中国特色社会主义思想对事业的指导作用。	1. 提供了新时代的行动指南，明确了“两个确立”的决定性意义；2. 统筹“五位一体”总体布局，指引实现第二个百年奋斗目标；3. 面对复杂国内外局势提供了应对风险挑战的战略定力与智慧。
